,Name of movie,Genres,Year of release,Watch time,Movie Rating,Meta score,Votes
0,Nhà tù Shawshank,Drama            ,1994,142,9.3,82,"2,738,740"
1,Bố Già,"Crime, Drama            ",1972,175,9.2,100,"1,904,515"
2,Kỵ Sĩ Bóng Đêm,"Action, Crime, Drama            ",2008,152,9.0,84,"2,711,774"
3,Bản Danh Sách Của Schindler,"Biography, Drama, History            ",1993,195,9.0,95,"1,382,339"
4,Chúa Tể Của Những Chiếc Nhẫn: Sự Quay Trở Lại Của Nhà Vua,"Action, Adventure, Drama            ",2003,201,9.0,94,"1,883,247"
5,12 Người Đàn Ông Giận Dữ,"Crime, Drama            ",1957,96,9.0,97,"810,635"
6,Bố Già Phần II,"Crime, Drama            ",1974,202,9.0,90,"1,298,088"
7,Chuyện Tào Lao,"Crime, Drama            ",1994,154,8.9,95,"2,104,632"
8,Kẻ Đánh Cắp Giấc Mơ,"Action, Adventure, Sci-Fi            ",2010,148,8.8,74,"2,407,181"
9,Chúa Tể Của Những Chiếc Nhẫn: Những Người Bạn Của Nhẫn,"Action, Adventure, Drama            ",2001,178,8.8,92,"1,912,039"
10,Sàn Đấu Sinh Tử,Drama            ,1999,139,8.8,66,"2,180,817"
11,Cuộc Đời Forrest Gump,"Drama, Romance            ",1994,142,8.8,82,"2,131,112"
12,Chúa Tể Của Những Chiếc Nhẫn: Hai Tòa Tháp,"Action, Adventure, Drama            ",2002,179,8.8,87,"1,699,982"
13,"Thiện, Ác, Tà","Adventure, Western            ",1966,161,8.8,90,"775,744"
14,Jai Bhim,"Crime, Drama, Mystery            ",2021,164,8.8,^^^^^^,"206,401"
15,777 Charlie,"Adventure, Comedy, Drama            ",2022,164,8.8,^^^^^^,"34,621"
16,Rocketry: The Nambi Effect,"Biography, Drama            ",2022,157,8.8,^^^^^^,"53,079"
17,Chiến Hữu,"Biography, Crime, Drama            ",1990,145,8.7,92,"1,188,684"
18,Ma Trận,"Action, Sci-Fi            ",1999,136,8.7,73,"1,953,518"
19,Chiến Tranh Giữa Các Vì Sao Tập 5: Đế Chế Phản Công,"Action, Adventure, Fantasy            ",1980,124,8.7,82,"1,318,322"
20,Bay Trên Tổ Chim Cúc Cu,Drama            ,1975,133,8.7,84,"1,026,842"
21,Soorarai Pottru,"Action, Drama            ",2020,153,8.7,^^^^^^,"119,321"
22,Hố Đen Tử Thần,"Adventure, Drama, Sci-Fi            ",2014,169,8.6,74,"1,902,929"
23,Chiến Tranh Giữa Các Vì Sao Tập 4: Niềm Hi Vọng Mới,"Action, Adventure, Fantasy            ",1977,121,8.6,90,"1,390,850"
24,7 Tội Lỗi Chết Người,"Crime, Drama, Mystery            ",1995,127,8.6,65,"1,693,377"
25,Sự Im Lặng Của Bầy Cừu,"Crime, Drama, Thriller            ",1991,118,8.6,86,"1,464,347"
26,Giải Cứu Binh Nhì Ryan,"Drama, War            ",1998,169,8.6,91,"1,420,431"
27,Dặm Xanh,"Crime, Drama, Fantasy            ",1999,189,8.6,61,"1,331,912"
28,Vùng Đất Linh Hồn,"Animation, Adventure, Family            ",2001,125,8.6,96,"787,310"
29,Thành Phố Của Chúa,"Crime, Drama            ",2002,130,8.6,79,"769,556"
30,Kẻ Hủy Diệt 2: Ngày Phán Xét,"Action, Sci-Fi            ",1991,137,8.6,75,"1,120,869"
31,Cuộc Sống Tươi Đẹp,"Comedy, Drama, Romance            ",1997,116,8.6,59,"709,766"
32,Bảy Võ Sĩ Đạo,"Action, Drama            ",1954,207,8.6,98,"352,207"
33,Cuộc Sống Tươi Đẹp,"Drama, Family, Fantasy            ",1946,130,8.6,89,"471,273"
34,Seppuku,"Action, Drama, Mystery            ",1962,133,8.6,85,"60,684"
35,Sita Ramam,"Action, Drama, Mystery            ",2022,163,8.6,^^^^^^,"59,378"
36,Võ Sĩ Giác Đấu,"Action, Adventure, Drama            ",2000,155,8.5,67,"1,532,851"
37,Ký Sinh Trùng,"Drama, Thriller            ",2019,132,8.5,96,"850,361"
38,Tay Trống Cự Phách,"Drama, Music            ",2014,106,8.5,89,"900,995"
39,Trở Về Tương Lai,"Adventure, Comedy, Sci-Fi            ",1985,116,8.5,87,"1,235,437"
40,Điệp Vụ Boston,"Crime, Drama, Thriller            ",2006,151,8.5,85,"1,353,243"
41,Léon: Sát Thủ Chuyên Nghiệp,"Action, Crime, Drama            ",1994,110,8.5,64,"1,186,625"
42,Quái Vật Không Gian,"Horror, Sci-Fi            ",1979,117,8.5,89,"901,460"
43,Ảo Thuật Gia Đấu Trí,"Drama, Mystery, Sci-Fi            ",2006,130,8.5,66,"1,361,530"
44,Vua Sư Tử,"Animation, Adventure, Drama            ",1994,88,8.5,88,"1,082,604"
45,Nghệ Sĩ Dương Cầm,"Biography, Drama, Music            ",2002,150,8.5,85,"853,847"
46,Nghi Phạm Vô Hình,"Crime, Drama, Mystery            ",1995,106,8.5,77,"1,102,651"
47,Tâm Thần Hoảng Loạn,"Horror, Mystery, Thriller            ",1960,109,8.5,97,"686,229"
48,Lịch Sử Mĩ Thế Kỉ X,"Crime, Drama            ",1998,119,8.5,62,"1,141,423"
49,Những Kẻ Bên Lề,"Biography, Comedy, Drama            ",2011,112,8.5,57,"879,621"
50,Chuyện Tình Thế Chiến,"Drama, Romance, War            ",1942,102,8.5,100,"582,469"
51,Thưở Ấy Miền Viễn Tây,Western            ,1968,165,8.5,82,"336,513"
52,Mộ Đom Đóm,"Animation, Drama, War            ",1988,89,8.5,94,"286,446"
53,Rạp Chiếu Bóng Thiên Đường,"Drama, Romance            ",1988,155,8.5,80,"267,823"
54,Vụ Án Mạng Nhà Bên,"Mystery, Thriller            ",1954,112,8.5,100,"501,024"
55,Thời Hiện Đại,"Comedy, Drama, Romance            ",1936,87,8.5,96,"247,850"
56,Ánh Sáng Đô Thị,"Comedy, Drama, Romance            ",1931,87,8.5,99,"188,258"
57,96,"Drama, Romance            ",II 2018,158,8.5,^^^^^^,"33,052"
58,Avengers: Hồi Kết,"Action, Adventure, Drama            ",2019,181,8.4,78,"1,175,085"
59,Joker,"Crime, Drama, Thriller            ",I 2019,122,8.4,59,"1,348,660"
60,Người Nhện: Vũ Trụ Mới,"Animation, Action, Adventure            ",2018,117,8.4,87,"560,394"
61,Lời Sấm Truyền,"Drama, Mystery, War            ",1979,147,8.4,94,"680,966"
62,Avengers: Cuộc Chiến Vô Cực,"Action, Adventure, Sci-Fi            ",2018,149,8.4,68,"1,118,835"
63,Ngôi Nhà Ma,"Drama, Horror            ",1980,146,8.4,66,"1,046,668"
64,Hành Trình Django,"Drama, Western            ",2012,165,8.4,81,"1,595,385"
65,Tên Cậu Là Gì?,"Animation, Drama, Fantasy            ",2016,106,8.4,79,"285,048"
66,Oldboy: Báo Thù,"Action, Drama, Mystery            ",2003,120,8.4,77,"594,754"
67,Quái Vật Không Gian 2,"Action, Adventure, Sci-Fi            ",1986,137,8.4,84,"731,243"
68,Kỵ Sĩ Bóng Đêm Trỗi Dậy,"Action, Drama, Thriller            ",2012,164,8.4,78,"1,738,035"
69,Indiana Jones Và Chiếc Rương Thánh Tích,"Action, Adventure            ",1981,115,8.4,85,"984,258"
70,Kẻ Mất Trí Nhớ,"Mystery, Thriller            ",2000,113,8.4,81,"1,261,177"
71,Đến Mà Xem,"Drama, Thriller, War            ",1985,142,8.4,^^^^^^,"85,378"
72,Trái Tim Dũng Cảm,"Biography, Drama, History            ",1995,178,8.4,68,"1,054,151"
73,Capharnaüm,Drama            ,2018,126,8.4,75,"94,777"
74,Coco: Hội Ngộ Diệu Kỳ,"Animation, Adventure, Comedy            ",I 2017,105,8.4,81,"531,773"
75,Khoảnh Khắc Cuộc Đời,"Drama, Mystery, Thriller            ",2006,137,8.4,89,"396,109"
76,Sự Đố Kỵ Của Thiên Tài,"Biography, Drama, Music            ",1984,160,8.4,88,"409,068"
77,Rô-bốt Biết Yêu,"Animation, Adventure, Family            ",2008,98,8.4,95,"1,140,273"
78,Tiến Sĩ Strangelove,"Comedy, War            ",1964,95,8.4,97,"499,601"
79,Trận Chiến Tàu Ngầm,"Drama, War            ",1981,149,8.4,86,"255,279"
80,Sunset Blvd.,"Drama, Film-Noir            ",1950,110,8.4,94,"226,468"
81,3 Chàng Ngốc,"Comedy, Drama            ",2009,170,8.4,67,"410,016"
82,Nhân Chứng Buộc Tội,"Crime, Drama, Mystery            ",1957,116,8.4,76,"129,197"
83,Paths of Glory,"Drama, War            ",1957,88,8.4,90,"201,873"
84,Nhà Độc Tài Vĩ Đại,"Comedy, Drama, War            ",1940,125,8.4,^^^^^^,"228,306"
85,Tengoku to jigoku,"Crime, Drama, Mystery            ",1963,143,8.4,90,"47,623"
